zscores,ITEM,CONDITION,EXTRACTION,NEGATIVITY,id
-1.605076692,1009,filler_bad,NA,NA,2
-1.605076692,1011,filler_bad,NA,NA,2
0.401269173,3,Extr_Pos,Extr,Pos,2
-1.203807519,1012,filler_bad,NA,NA,2
0,5,Extr_Neg,Extr,Neg,2
0.401269173,1008,filler_ok,NA,NA,2
0.802538346,1002,filler_good,NA,NA,2
-0.401269173,8,NoExtr_Neg,NoExtr,Neg,2
0.802538346,1004,filler_good,NA,NA,2
-1.203807519,1010,filler_bad,NA,NA,2
-1.605076692,4,NoExtr_Neg,NoExtr,Neg,2
0.802538346,1001,filler_good,NA,NA,2
0.802538346,6,NoExtr_Pos,NoExtr,Pos,2
0.802538346,1007,filler_ok,NA,NA,2
0.802538346,7,Extr_Pos,Extr,Pos,2
0.802538346,1006,filler_ok,NA,NA,2
0.802538346,1005,filler_ok,NA,NA,2
0.802538346,2,NoExtr_Pos,NoExtr,Pos,2
0.802538346,1003,filler_good,NA,NA,2
-1.203807519,1,Extr_Neg,Extr,Neg,2
1.027402334,1001,filler_good,NA,NA,1
1.027402334,1002,filler_good,NA,NA,1
-0.513701167,2,NoExtr_Neg,NoExtr,Neg,1
-1.541103501,1010,filler_bad,NA,NA,1
1.027402334,5,Extr_Pos,Extr,Pos,1
-1.541103501,1012,filler_bad,NA,NA,1
0.513701167,1008,filler_ok,NA,NA,1
1.027402334,1,Extr_Pos,Extr,Pos,1
0,1003,filler_good,NA,NA,1
-1.027402334,1009,filler_bad,NA,NA,1
1.027402334,8,NoExtr_Pos,NoExtr,Pos,1
0.513701167,1006,filler_ok,NA,NA,1
-0.513701167,7,Extr_Neg,Extr,Neg,1
0.513701167,1005,filler_ok,NA,NA,1
-1.027402334,6,NoExtr_Neg,NoExtr,Neg,1
0,1004,filler_good,NA,NA,1
-1.541103501,1011,filler_bad,NA,NA,1
-1.027402334,3,Extr_Neg,Extr,Neg,1
1.027402334,1007,filler_ok,NA,NA,1
1.027402334,4,NoExtr_Pos,NoExtr,Pos,1
0.970725343,1008,filler_ok,NA,NA,10
0.416025147,1003,filler_good,NA,NA,10
-0.138675049,3,NoExtr_Neg,NoExtr,Neg,10
-1.802775638,1012,filler_bad,NA,NA,10
-0.138675049,7,NoExtr_Neg,NoExtr,Neg,10
0.970725343,1005,filler_ok,NA,NA,10
-1.802775638,1009,filler_bad,NA,NA,10
0.416025147,6,Extr_Pos,Extr,Pos,10
0.970725343,1006,filler_ok,NA,NA,10
0.970725343,1001,filler_good,NA,NA,10
-0.138675049,8,Extr_Neg,Extr,Neg,10
0.416025147,1007,filler_ok,NA,NA,10
0.970725343,1,NoExtr_Pos,NoExtr,Pos,10
0.416025147,1002,filler_good,NA,NA,10
-0.138675049,5,NoExtr_Pos,NoExtr,Pos,10
-0.138675049,1011,filler_bad,NA,NA,10
-2.357475834,1010,filler_bad,NA,NA,10
-0.693375245,4,Extr_Neg,Extr,Neg,10
-0.138675049,1004,filler_good,NA,NA,10
0.970725343,2,Extr_Pos,Extr,Pos,10
-1.373584615,1012,filler_bad,NA,NA,11
1.181921645,1002,filler_good,NA,NA,11
0.54304508,2,NoExtr_Pos,NoExtr,Pos,11
-0.095831485,1008,filler_ok,NA,NA,11
0.54304508,6,NoExtr_Pos,NoExtr,Pos,11
-1.373584615,1010,filler_bad,NA,NA,11
-0.73470805,1011,filler_bad,NA,NA,11
0.54304508,5,Extr_Neg,Extr,Neg,11
-1.373584615,1009,filler_bad,NA,NA,11
1.181921645,1003,filler_good,NA,NA,11
0.54304508,7,Extr_Pos,Extr,Pos,11
-0.095831485,1001,filler_good,NA,NA,11
-0.73470805,8,NoExtr_Neg,NoExtr,Neg,11
1.181921645,1004,filler_good,NA,NA,11
0.54304508,3,Extr_Pos,Extr,Pos,11
-0.73470805,1007,filler_ok,NA,NA,11
1.181921645,1005,filler_ok,NA,NA,11
-2.01246118,4,NoExtr_Neg,NoExtr,Neg,11
0.54304508,1006,filler_ok,NA,NA,11
0.54304508,1,Extr_Neg,Extr,Neg,11
0.269813343,1003,filler_good,NA,NA,8
-1.692465515,5,NoExtr_Neg,NoExtr,Neg,8
-1.692465515,1010,filler_bad,NA,NA,8
1.250952772,3,NoExtr_Pos,NoExtr,Pos,8
1.250952772,1001,filler_good,NA,NA,8
